college_id,ranking_authority,ranking_year,overall_rank,overall_score,overall_total_score,parameter_id,parameter_score,rank_band,Country
32732,2,2023,,42.1–44.9,100,1,63.2,401–500,
32732,2,2023,,42.1–44.9,100,2,50.3,401–500,
32732,2,2023,,42.1–44.9,100,3,82.2,401–500,
32732,2,2023,,42.1–44.9,100,4,33.8,401–500,
32732,2,2023,,42.1–44.9,100,5,23.9,401–500,
32732,3,2023,471,25.2,100,1,16.4,,
32732,3,2023,471,25.2,100,2,32.4,,
32732,3,2023,471,25.2,100,3,16.2,,
32732,3,2023,471,25.2,100,4,73.5,,
32732,3,2023,471,25.2,100,5,19.1,,
32732,4,2023,1078,69.8,100,,,,
32732,2,2022,,38.1–40.8,100,1,54.9,501–600,
32732,2,2022,,38.1–40.8,100,2,41,501–600,
32732,2,2022,,38.1–40.8,100,3,70.7,501–600,
32732,2,2022,,38.1–40.8,100,4,32.7,501–600,
32732,2,2022,,38.1–40.8,100,5,23.1,501–600,
32732,4,2022,,,100,,,,
53138,2,2023,,23.7–28.3,100,1,51.4,301–400,
53138,2,2023,,23.7–28.3,100,2,34.5,301–400,
53138,2,2023,,23.7–28.3,100,3,68.1,301–400,
53138,2,2023,,23.7–28.3,100,4,14.4,301–400,
53138,2,2023,,23.7–28.3,100,5,15.4,301–400,
53138,3,2023,,,100,1,10.8,801-1000,
53138,3,2023,,,100,2,8.5,801-1000,
53138,3,2023,,,100,3,17.6,801-1000,
53138,3,2023,,,100,4,37.7,801-1000,
53138,3,2023,,,100,5,9.8,801-1000,
53138,4,2023,1236,68.9,100,,,,
53138,2,2022,,38.1–40.8,100,1,61.5,501–600,
53138,2,2022,,38.1–40.8,100,2,37.7,501–600,
53138,2,2022,,38.1–40.8,100,3,79,501–600,
53138,2,2022,,38.1–40.8,100,4,27.6,501–600,
53138,2,2022,,38.1–40.8,100,5,22.2,501–600,
53138,4,2022,,,100,,,,
53141,2,2023,,51.2–54.3,100,1,31.4,201–250,
53141,2,2023,,51.2–54.3,100,2,37.3,201–250,
53141,2,2023,,51.2–54.3,100,3,76.9,201–250,
53141,2,2023,,51.2–54.3,100,4,50.7,201–250,
53141,2,2023,,51.2–54.3,100,5,94.7,201–250,
53141,4,2023,1017,70.1,100,,,,
53141,2,2022,,50.4–53.9,100,1,84,201–250,
53141,2,2022,,50.4–53.9,100,2,52.6,201–250,
53141,2,2022,,50.4–53.9,100,3,94.9,201–250,
53141,2,2022,,50.4–53.9,100,4,35.3,201–250,
53141,2,2022,,50.4–53.9,100,5,29.2,201–250,
53141,4,2022,,,100,,,,
53153,2,2023,,24.4–29.7,100,1,33.1,1001–1200,
53153,2,2023,,24.4–29.7,100,2,37.5,1001–1200,
53153,2,2023,,24.4–29.7,100,3,72.6,1001–1200,
53153,2,2023,,24.4–29.7,100,4,12.3,1001–1200,
53153,2,2023,,24.4–29.7,100,5,17.8,1001–1200,
53153,3,2023,,,100,1,3.4,801-1000,
53153,3,2023,,,100,2,13.8,801-1000,
53153,3,2023,,,100,3,45.8,801-1000,
53153,3,2023,,,100,4,27.6,801-1000,
53153,3,2023,,,100,5,11.4,801-1000,
53153,4,2023,,,100,,,,
53153,2,2022,,22.4–27.1,100,1,30.8,1001–1200,
53153,2,2022,,22.4–27.1,100,2,35.1,1001–1200,
53153,2,2022,,22.4–27.1,100,3,71.3,1001–1200,
53153,2,2022,,22.4–27.1,100,4,12,1001–1200,
53153,2,2022,,22.4–27.1,100,5,17,1001–1200,
53153,4,2022,,,100,,,,
32733,2,2023,161,57,100,1,79.4,,
32733,2,2023,161,57,100,2,97.9,,
32733,2,2023,161,57,100,3,93.7,,
32733,2,2023,161,57,100,4,47.3,,
32733,2,2023,161,57,100,5,36,,
32733,3,2023,98,59.1,100,1,60.2,,
32733,3,2023,98,59.1,100,2,48.2,,
32733,3,2023,98,59.1,100,3,93.3,,
32733,3,2023,98,59.1,100,4,87.3,,
32733,3,2023,98,59.1,100,5,67.9,,
32733,4,2023,235,77.9,100,,,,
32733,2,2022,146,57.6,100,1,79.5,,
32733,2,2022,146,57.6,100,2,42.1,,
32733,2,2022,146,57.6,100,3,95,,
32733,2,2022,146,57.6,100,4,45,,
32733,2,2022,146,57.6,100,5,40.4,,
32733,4,2022,,,100,,,,
53160,2,2023,,47.0–48.7,100,1,83.7,301–350,
53160,2,2023,,47.0–48.7,100,2,47.2,301–350,
53160,2,2023,,47.0–48.7,100,3,84.3,301–350,
53160,2,2023,,47.0–48.7,100,4,28.8,301–350,
53160,2,2023,,47.0–48.7,100,5,24.2,301–350,
53160,3,2023,303,35,100,1,25.9,,
53160,3,2023,303,35,100,2,32.8,,
53160,3,2023,303,35,100,3,42.6,,
53160,3,2023,303,35,100,4,76.3,,
53160,3,2023,303,35,100,5,29,,
53160,4,2023,525,73.9,100,,,,
53160,2,2022,,48.1–50.3,100,1,88.1,251–300,
53160,2,2022,,48.1–50.3,100,2,49.2,251–300,
53160,2,2022,,48.1–50.3,100,3,83.7,251–300,
53160,2,2022,,48.1–50.3,100,4,27.6,251–300,
53160,2,2022,,48.1–50.3,100,5,26.2,251–300,
53160,4,2022,,,100,,,,
53162,2,2023,,51.2–54.3,100,1,73.9,201–250,
53162,2,2023,,51.2–54.3,100,2,46.9,201–250,
53162,2,2023,,51.2–54.3,100,3,94.2,201–250,
53162,2,2023,,51.2–54.3,100,4,40.3,201–250,
53162,2,2023,,51.2–54.3,100,5,32.6,201–250,
53162,3,2023,181,45.6,100,1,43,,
53162,3,2023,181,45.6,100,2,64.4,,
53162,3,2023,181,45.6,100,3,63.1,,
53162,3,2023,181,45.6,100,4,87.6,,
53162,3,2023,181,45.6,100,5,48.7,,
53162,4,2023,288,76.9,100,,,,
53162,2,2022,,50.4–53.9,100,1,71.8,201–250,
53162,2,2022,,50.4–53.9,100,2,48.7,201–250,
53162,2,2022,,50.4–53.9,100,3,93.6,201–250,
53162,2,2022,,50.4–53.9,100,4,39,201–250,
53162,2,2022,,50.4–53.9,100,5,32.2,201–250,
53162,4,2022,,,100,,,,
53163,2,2023,,47.0–48.7,100,1,71.2,301–350,
53163,2,2023,,47.0–48.7,100,2,45.7,301–350,
53163,2,2023,,47.0–48.7,100,3,82.8,301–350,
53163,2,2023,,47.0–48.7,100,4,32.7,301–350,
53163,2,2023,,47.0–48.7,100,5,29.7,301–350,
53163,3,2023,270,37.2,100,1,13.5,,
53163,3,2023,270,37.2,100,2,39.3,,
53163,3,2023,270,37.2,100,3,37.9,,
53163,3,2023,270,37.2,100,4,75.7,,
53163,3,2023,270,37.2,100,5,26.4,,
53163,4,2023,649,72.7,100,,,,
53163,2,2022,,44.1–46.0,100,1,66.7,351–400,
53163,2,2022,,44.1–46.0,100,2,48.8,351–400,
53163,2,2022,,44.1–46.0,100,3,81.5,351–400,
53163,2,2022,,44.1–46.0,100,4,31.9,351–400,
53163,2,2022,,44.1–46.0,100,5,27.6,351–400,
53163,4,2022,,,100,,,,
53168,2,2023,,34.0–39.2,100,1,50.8,601–800,
53168,2,2023,,34.0–39.2,100,2,40.7,601–800,
53168,2,2023,,34.0–39.2,100,3,83,601–800,
53168,2,2023,,34.0–39.2,100,4,67.9,601–800,
53168,2,2023,,34.0–39.2,100,5,24.2,601–800,
53168,3,2023,,,100,1,22.3,531-540,
53168,3,2023,,,100,2,17.4,531-540,
53168,3,2023,,,100,3,23.8,531-540,
53168,3,2023,,,100,4,67.3,531-540,
53168,3,2023,,,100,5,17.1,531-540,
53168,4,2023,939,70.6,100,,,,
53168,2,2022,,32.0–37.9,100,1,52.8,601–800,
53168,2,2022,,32.0–37.9,100,2,38.4,601–800,
53168,2,2022,,32.0–37.9,100,3,80,601–800,
53168,2,2022,,32.0–37.9,100,4,26.9,601–800,
53168,2,2022,,32.0–37.9,100,5,22.9,601–800,
